dataset	record_type	gate	biological_unit	rabbit_id	condition_or_day	module	selected_cell_count	module_score	injured_minus_control_residual	day7_mean_residual	day28_mean_residual	cross_sectional_day7_minus_day28	direction
GSE328779	eye_score	NEGSEL_STRICT	GSM9689606	594E	Day7_FI	Matricellular	3061.0	0.10368772734424575					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689606	594E	Day7_FI	LOX/LOXL2	3061.0	0.4482082136183134					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689606	594E	Day7_FI	ECM remodeling	3061.0	0.08782680011650092					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689606	594E	Day7_FI	Keratocyte-associated identity	3061.0	0.2999266977495571					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689606	594E	Day7_FI	Inflammation-associated response	3061.0	0.15072888687460564					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689606	594E	Day7_FI	Collagen	3061.0	0.5593541139176772					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689607	616E	Day7_FI	Contractile	2473.0	0.4491206289664018					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689607	616E	Day7_FI	Matricellular	2473.0	0.19715973925627528					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689607	616E	Day7_FI	LOX/LOXL2	2473.0	0.4641973364458865					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689607	616E	Day7_FI	ECM remodeling	2473.0	0.09405091500080552					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689607	616E	Day7_FI	Keratocyte-associated identity	2473.0	0.4197752054927912					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689607	616E	Day7_FI	Inflammation-associated response	2473.0	0.04428538883498441					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689607	616E	Day7_FI	Collagen	2473.0	0.7971762775645403					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689608	594E	Day7_Control	Contractile	5100.0	0.13869564085436115					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689608	594E	Day7_Control	Matricellular	5100.0	0.061299718075793166					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689608	594E	Day7_Control	LOX/LOXL2	5100.0	0.2873548242742981					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689608	594E	Day7_Control	ECM remodeling	5100.0	-0.012244238887242213					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689608	594E	Day7_Control	Keratocyte-associated identity	5100.0	0.43682742461134827					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689608	594E	Day7_Control	Inflammation-associated response	5100.0	-0.037764090541808806					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689608	594E	Day7_Control	Collagen	5100.0	0.4935049234937886					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689609	616E	Day7_Control	Contractile	2941.0	0.23827913389660763					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689609	616E	Day7_Control	Matricellular	2941.0	0.11825843159714362					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689609	616E	Day7_Control	LOX/LOXL2	2941.0	0.4070405567436843					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689609	616E	Day7_Control	ECM remodeling	2941.0	-0.0553982210559663					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689609	616E	Day7_Control	Keratocyte-associated identity	2941.0	0.37769129540005136					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689609	616E	Day7_Control	Inflammation-associated response	2941.0	-0.10598623857255728					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689609	616E	Day7_Control	Collagen	2941.0	0.7099193737164928					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689610	595E	Day28_FI	Contractile	2921.0	0.17222069390191572					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689610	595E	Day28_FI	Matricellular	2921.0	0.08875670625863151					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689610	595E	Day28_FI	LOX/LOXL2	2921.0	0.45045631366908817					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689610	595E	Day28_FI	ECM remodeling	2921.0	0.01568103332151184					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689610	595E	Day28_FI	Keratocyte-associated identity	2921.0	0.4709402724201964					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689610	595E	Day28_FI	Inflammation-associated response	2921.0	0.02130465890838352					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689610	595E	Day28_FI	Collagen	2921.0	0.6883433316259374					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689611	596E	Day28_FI	Contractile	1563.0	0.2977775324839778					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689611	596E	Day28_FI	Matricellular	1563.0	0.14157299115147112					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689611	596E	Day28_FI	LOX/LOXL2	1563.0	0.45172815162616636					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689611	596E	Day28_FI	ECM remodeling	1563.0	0.22473784803523905					
GSE328779	eye_score	NEGSEL_STRICT	GSM9689611	596E	Day28_FI	Keratocyte-associated identity	1563.0	0.5163326178460715					
